speciesCode,common_name,scientific_name,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
brdowl,Barred Owl,Strix varia,L54864591,"1128 Jefferson Street, Quincy, Illinois, US (39.921, -91.397)",2025-11-07 05:43:00,1,39.9206178,-91.3971848,True,False,True,S283260699,
grhowl,Great Horned Owl,Bubo virginianus,L1095884,Crab Orchard NWR,2025-11-07 05:00:00,1,37.6961003,-89.0708914,True,False,False,S283258491,
killde,Killdeer,Charadrius vociferus,L17108212,Harrison Park,2025-11-06 22:02:00,1,41.857217,-87.672512,True,False,False,S283224315,
cangoo,Canada Goose,Branta canadensis,L20811730,"Carl Sandburg High School, Orland Park US-IL 41.65076, -87.85815",2025-11-06 19:17:00,7,41.65076,-87.858154,True,False,True,S283228739,
houspa,House Sparrow,Passer domesticus,L26064056,"1018 St Charles Dr, Quincy US-IL 39.90418, -91.39885home",2025-11-06 18:24:00,34,39.904182,-91.398854,True,False,True,S283207728,N
amerob,American Robin,Turdus migratorius,L26064056,"1018 St Charles Dr, Quincy US-IL 39.90418, -91.39885home",2025-11-06 18:24:00,2,39.904182,-91.398854,True,False,True,S283207728,
whtspa,White-throated Sparrow,Zonotrichia albicollis,L26064056,"1018 St Charles Dr, Quincy US-IL 39.90418, -91.39885home",2025-11-06 18:24:00,1,39.904182,-91.398854,True,False,True,S283207728,
dowwoo,Downy Woodpecker,Dryobates pubescens,L26064056,"1018 St Charles Dr, Quincy US-IL 39.90418, -91.39885home",2025-11-06 18:24:00,1,39.904182,-91.398854,True,False,True,S283207728,
daejun,Dark-eyed Junco,Junco hyemalis,L26064056,"1018 St Charles Dr, Quincy US-IL 39.90418, -91.39885home",2025-11-06 18:24:00,1,39.904182,-91.398854,True,False,True,S283207728,
eucdov,Eurasian Collared-Dove,Streptopelia decaocto,L26064056,"1018 St Charles Dr, Quincy US-IL 39.90418, -91.39885home",2025-11-06 18:24:00,1,39.904182,-91.398854,True,False,True,S283207728,N
moudov,Mourning Dove,Zenaida macroura,L26064056,"1018 St Charles Dr, Quincy US-IL 39.90418, -91.39885home",2025-11-06 18:24:00,1,39.904182,-91.398854,True,False,True,S283207728,
houfin,House Finch,Haemorhous mexicanus,L26064056,"1018 St Charles Dr, Quincy US-IL 39.90418, -91.39885home",2025-11-06 18:24:00,2,39.904182,-91.398854,True,False,True,S283207728,N
amegfi,American Goldfinch,Spinus tristis,L26064056,"1018 St Charles Dr, Quincy US-IL 39.90418, -91.39885home",2025-11-06 18:24:00,1,39.904182,-91.398854,True,False,True,S283207728,
norcar,Northern Cardinal,Cardinalis cardinalis,L26064056,"1018 St Charles Dr, Quincy US-IL 39.90418, -91.39885home",2025-11-06 18:24:00,1,39.904182,-91.398854,True,False,True,S283207728,
